"   ncalls","  tottime","  percall","  cumtime","  percall"," filename:lineno(function)"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'rstrip' of 'bytes' objects}"
"       26","    0.000","    0.000","    0.000","    0.000"," {method 'rstrip' of 'str' objects}"
"        7","    0.000","    0.000","    0.000","    0.000"," {method 'set' of '_contextvars.ContextVar' objects}"
"       53","    0.000","    0.000","    0.000","    0.000"," {method 'split' of 'str' objects}"
"       45","    0.000","    0.000","    0.000","    0.000"," {method 'splitlines' of 'str' objects}"
"       11","    0.000","    0.000","    0.000","    0.000"," {method 'startswith' of 'str' objects}"
"        8","    0.000","    0.000","    0.000","    0.000"," {method 'strip' of 'str' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'sub' of 're.Pattern' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'take' of 'numpy.ndarray' objects}"
"      402","    0.000","    0.000","    0.000","    0.000"," {method 'tobytes' of 'numpy.ndarray' objects}"
"        7","    0.000","    0.000","    0.000","    0.000"," {method 'update' of 'dict' objects}"
"      139","    0.000","    0.000","    0.000","    0.000"," {method 'update' of 'set' objects}"
"      139","    0.000","    0.000","    0.000","    0.000"," {method 'values' of 'dict' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {singleShot}"
